Date,Qualys
2013-09-06,57
2013-09-07,58
2013-09-08,57
2013-09-09,59
2013-09-10,62
2013-09-11,64
2013-09-12,72
2013-09-13,69
2013-09-14,76
2013-09-15,76
2013-09-16,75
2013-09-17,77
2013-09-18,79
2013-09-19,81
2013-09-20,83
2013-09-21,96
2013-09-22,84
2013-09-23,84
2013-09-24,90
2013-09-25,84
2013-09-26,84
2013-09-27,84
2013-09-28,95
2013-09-29,81
2013-09-30,79
2013-10-01,77
2013-10-02,78
2013-10-03,73
2013-10-04,77
2013-10-05,69
2013-10-06,71
2013-10-07,73
2013-10-08,78
2013-10-09,77
2013-10-10,80
2013-10-11,82
2013-10-12,92
2013-10-13,82
2013-10-14,80
2013-10-15,80
2013-10-16,77
2013-10-17,79
2013-10-18,74
2013-10-19,73
2013-10-20,72
2013-10-21,71
2013-10-22,72
2013-10-23,72
2013-10-24,72
2013-10-25,69
2013-10-26,69
2013-10-27,69
2013-10-28,69
2013-10-29,69
2013-10-30,69
2013-10-31,69
2013-11-01,72
2013-11-02,73
2013-11-03,71
2013-11-04,72
2013-11-05,74
2013-11-06,84
2013-11-07,77
2013-11-08,78
2013-11-09,89
2013-11-10,77
2013-11-11,75
2013-11-12,73
2013-11-13,70
2013-11-14,73
2013-11-15,66
2013-11-16,69
2013-11-17,65
2013-11-18,66
2013-11-19,68
2013-11-20,68
2013-11-21,69
2013-11-22,72
2013-11-23,71
2013-11-24,70
2013-11-25,69
2013-11-26,71
2013-11-27,69
2013-11-28,67
2013-11-29,70
2013-11-30,65
