Date,BGC Partners
2008-05-16,88
2008-05-17,88
2008-05-18,88
2008-05-19,89
2008-05-20,89
2008-05-21,89
2008-05-22,90
2008-05-23,90
2008-05-24,90
2008-05-25,90
2008-05-26,91
2008-05-27,91
2008-05-28,91
2008-05-29,92
2008-05-30,92
2008-05-31,92
2008-06-01,93
2008-06-02,92
2008-06-03,92
2008-06-04,91
2008-06-05,90
2008-06-06,90
2008-06-07,89
2008-06-08,88
2008-06-09,87
2008-06-10,86
2008-06-11,85
2008-06-12,84
2008-06-13,84
2008-06-14,83
2008-06-15,82
2008-06-16,82
2008-06-17,81
2008-06-18,80
2008-06-19,79
2008-06-20,79
2008-06-21,78
2008-06-22,77
2008-06-23,76
2008-06-24,76
2008-06-25,75
2008-06-26,74
2008-06-27,73
2008-06-28,73
2008-06-29,72
2008-06-30,71
2008-07-01,71
