1338916|Credit Suisse|2005-09
1365101|Stifel|2010-03
1421461|Goldman Sachs|2007-12
1488139|BofA Merrill Lynch|2010-03
1118417|JPMorgan Chase|2013-02
1219169|Morgan Stanley|2006-06
1307954|Citigroup|2004-11
1332341|UBS Securities|2006-08
1383729|Goldman Sachs|2011-03
1410637|JPMorgan Chase|2007-09
1474735|JPMorgan Chase|2009-10
1524025|Goldman Sachs|2011-07
1580670|Deutsche Bank|2013-08
1120105|Deutsche Bank|2007-07
1219210|Citigroup|2004-06
1308208|Stephens Inc|2004-11
1332349|Goldman Sachs|2005-08
1383803|JMP Securities|2007-02
1475274|Morgan Stanley|2013-06
1125345|BofA Merrill Lynch|2013-09
1237746|Goldman Sachs|2013-09
1334544|Bank of America|2005-08
1361983|UBS Securities|2006-05
1386198|Citibank|2007-09
1479426|Piper Jaffray|2010-01
1528129|JPMorgan Chase|2011-08
1584207|BofA Merrill Lynch|2013-08
1125603|CIBC World Markets|2005-09
1239819|ThinkEquity|2006-02
1311538|Oppenheimer Holdings|2005-09
1334814|Citibank|2011-04
1362004|UBS Securities|2006-05
1386278|JPMorgan Chase|2010-02
1479750|Credit Suisse|2012-06
1528396|JPMorgan Chase|2011-09
1584509|Goldman Sachs|2013-09
1125914|Merrill Lynch|2009-01
1244937|Credit Suisse|2007-02
1311596|Cohen & Company|2013-04
1334978|Goldman Sachs|2005-08
1362120|FBR Capital Markets|2006-12
1386858|Leerink Swann|2012-04
1528837|Johnson Rice & Company|2011-09
1585064|Credit Suisse|2013-08
1125920|JPMorgan Chase|2006-06
1312073|JPMorgan Chase|2005-01
1362468|Merrill Lynch|2006-05
1388133|Lehman Brothers|2007-02
1415336|JPMorgan Chase|2011-07
1482080|JPMorgan Chase|2013-06
1528849|BofA Merrill Lynch|2011-09
1585689|Deutsche Bank|2013-09
1126234|Stifel|2010-12
1254419|Morgan Stanley|2007-08
1312928|Morgan Stanley|2010-11
1388319|Dawson James Securities|2007-02
1529979|BofA Merrill Lynch|2011-09
1586049|JPMorgan Chase|2013-10
1126741|Needham & Company|2007-01
1259515|BofA Merrill Lynch|2013-07
1313024|Credit Suisse|2005-12
1388430|Piper Jaffray|2007-02
1415624|Citigroup|2013-07
1483510|BofA Merrill Lynch|2010-02
1532961|Roth Capital Partners|2013-01
847935|Thomas Weisel|2005-04
1131554|Goldman Sachs|2006-02
1270073|BofA Merrill Lynch|2012-09
1316625|Thomas Weisel|2005-02
1365038|Goldman Sachs|2010-08
1391984|Goldman Sachs|2007-03
1421419|BofA Merrill Lynch|2008-06
1488075|Morgan Stanley|2010-04
1537951|Jefferies|2011-12
885306|Citigroup|2005-08
1141391|Goldman Sachs|2005-09
1277856|Deutsche Bank|2007-09
1319161|Goldman Sachs|2005-03
1340127|BofA Merrill Lynch|2011-05
1367644|JPMorgan Chase|2006-08
1394954|Credit Suisse|2007-04
1425565|Panmure Gordon|2008-02
1490930|Roth Capital Partners|2011-05
1547903|FBR Capital Markets|2013-10
1125001|UBS Securities|2005-10
1235007|RBC Capital Markets|2010-08
1311241|Morgan Stanley|2011-07
1334303|Lehman Brothers|2007-08
1361709|Merrill Lynch|2006-05
1385613|Lehman Brothers|2007-01
1411861|JPMorgan Chase|2007-09
1478242|Morgan Stanley|2013-02
1125294|WR Hambrecht + Co|2005-04
1235468|FBR Capital Markets|2005-11
1311370|Goldman Sachs|2005-03
1334478|Legg Mason|2005-07
1385830|Morgan Stanley|2007-02
1478484|Goldman Sachs|2013-10
1533932|JPMorgan Chase|2011-11
316300|JPMorgan Chase|2005-11
1130598|Citigroup|2013-06
1265888|Morgan Stanley|2005-03
1314822|Goldman Sachs|2005-01
1337553|RBC Capital Markets|2013-09
1364100|Bank of America|2006-05
1389170|Barclays Capital|2010-09
1419852|Barclays Capital|2011-06
1486800|Goldman Sachs|2010-03
1534287|Credit Suisse|2011-11
732834|JPMorgan Chase|2006-03
1130866|Lehman Brothers|2005-05
1267201|FBR Capital Markets|2004-09
1315054|UBS Securities|2005-04
1337619|Morgan Stanley|2010-03
1364479|Goldman Sachs|2006-07
1389305|Deutsche Bank|2007-02
1420302|JPMorgan Chase|2008-01
1487371|Piper Jaffray|2010-03
1534504|Citigroup|2011-11
748015|Citigroup|2005-06
1131096|Goldman Sachs|2007-06
1267602|Credit Suisse|2009-10
1315657|Barclays Capital|2013-01
1487712|JPMorgan Chase|2011-01
1535031|Goldman Sachs|2011-12
