Date,Deutsche Bank
2013-03-03,42
2013-03-04,43
2013-03-05,46
2013-03-06,46
2013-03-07,47
2013-03-08,51
2013-03-09,53
2013-03-10,49
2013-03-11,48
2013-03-12,48
2013-03-13,47
2013-03-14,47
2013-03-15,48
2013-03-16,48
2013-03-17,46
2013-03-18,47
2013-03-19,48
2013-03-20,48
2013-03-21,50
2013-03-22,52
2013-03-23,51
2013-03-24,51
2013-03-25,51
2013-03-26,55
2013-03-27,51
2013-03-28,51
2013-03-29,54
2013-03-30,52
2013-03-31,52
