Date,JPMorgan Chase
2013-03-20,18
2013-03-21,19
2013-03-22,18
2013-03-23,20
2013-03-24,17
2013-03-25,17
2013-03-26,17
2013-03-27,17
2013-03-28,16
2013-03-29,17
2013-03-30,16
2013-03-31,16
