Date,Deutsche Bank
2012-06-27,77
2012-06-28,78
2012-06-29,79
2012-06-30,89
2012-07-01,81
2012-07-02,81
2012-07-03,84
2012-07-04,82
2012-07-05,83
2012-07-06,86
2012-07-07,91
2012-07-08,84
2012-07-09,82
2012-07-10,82
2012-07-11,82
2012-07-12,80
2012-07-13,80
2012-07-14,86
2012-07-15,78
2012-07-16,77
2012-07-17,78
2012-07-18,76
2012-07-19,75
2012-07-20,76
2012-07-21,81
2012-07-22,74
2012-07-23,74
2012-07-24,75
2012-07-25,75
2012-07-26,76
2012-07-27,76
2012-07-28,84
2012-07-29,78
2012-07-30,80
2012-07-31,81
2012-08-01,85
2012-08-02,86
2012-08-03,86
2012-08-04,97
2012-08-05,86
2012-08-06,84
2012-08-07,84
2012-08-08,81
2012-08-09,79
2012-08-10,77
2012-08-11,82
2012-08-12,75
2012-08-13,74
2012-08-14,74
2012-08-15,74
2012-08-16,72
2012-08-17,73
2012-08-18,77
2012-08-19,71
2012-08-20,71
2012-08-21,72
2012-08-22,72
2012-08-23,71
2012-08-24,72
2012-08-25,76
2012-08-26,73
2012-08-27,75
2012-08-28,78
2012-08-29,79
2012-08-30,81
2012-08-31,83
