Date,NetSpend
2011-12-11,70
2011-12-12,67
2011-12-13,65
2011-12-14,63
2011-12-15,61
2011-12-16,59
2011-12-17,57
2011-12-18,55
2011-12-19,55
2011-12-20,53
2011-12-21,52
2011-12-22,51
2011-12-23,50
2011-12-24,49
2011-12-25,48
